,Date,Ticker,NAV,Share out standing,Asset of class,Asset of fund,Distribution yield,YTM
0,demo,demo,demo,demo,demo,demo,demo,demo
640,2020/12/18,DPYA,5.33,"23,745,845","126,479,129","2,385,888,762",2.91,-
641,2020/12/18,LQDA,6.52,"352,874,612","2,299,406,322","9,927,022,012",2.8,1.97%
642,2020/12/18,EMCA,6.09,"72,645,921","442,109,391","1,432,033,199",3.98,3.30%
643,2020/12/18,IUAA,5.89,"375,423,414","2,209,982,699","3,604,816,090",2.05,1.06%
644,2020/12/20,EIMI,35.03,"490,650,238","17,189,662,716","17,638,008,791",1.73,-
645,2020/12/20,IWDA,72.58,"393,171,481","28,537,792,549","29,556,761,541",1.36,-
646,2020/12/20,DPYA,5.22,"23,745,845","123,838,530","2,336,076,440",2.89,-
647,2020/12/20,LQDA,6.5,"353,609,586","2,299,805,457","9,840,031,408",2.8,1.96%
648,2020/12/20,EMCA,6.09,"74,013,214","450,392,290","1,431,769,448",3.98,3.28%
649,2020/12/20,IUAA,5.88,"375,423,414","2,208,502,800","3,602,398,666",2.05,1.05%
650,2020/12/22,EIMI,34.7,"490,604,464","17,024,045,262","17,469,701,470",1.74,-
651,2020/12/22,IWDA,72,"393,290,518","28,317,801,436","29,320,032,717",1.36,-
652,2020/12/22,DPYA,5.16,"23,895,845","123,224,976","2,319,540,339",2.95,-
653,2020/12/22,LQDA,6.5,"353,609,586","2,297,527,131","9,719,166,124",2.8,1.98%
654,2020/12/23,EIMI,34.45,"494,179,464","17,026,637,447","17,469,137,034",1.75,-
655,2020/12/23,IWDA,71.95,"393,160,272","28,289,485,461","29,300,251,270",1.37,-
656,2020/12/23,DPYA,5.18,"23,895,845","123,879,721","2,331,864,884",2.99,-
657,2020/12/23,LQDA,6.52,"349,609,586","2,278,125,611","9,721,300,842",2.81,1.99%
658,2020/12/23,EMCA,6.09,"74,163,214","451,307,350","1,431,779,524",3.98,3.28%
659,2020/12/23,IUAA,5.89,"375,423,414","2,211,494,887","3,607,278,873",2.05,1.06%
660,2020/12/27,EIMI,34.63,"493,786,366","17,099,816,144","17,558,184,283",1.76,-
661,2020/12/27,IWDA,72.39,"394,299,567","28,544,941,698","29,563,377,117",1.36,-
662,2020/12/27,DPYA,5.23,"23,895,845","125,090,371","2,354,651,657",2.94,-
663,2020/12/27,LQDA,6.52,"349,609,586","2,280,569,369","9,567,668,716",2.8,1.99%
664,2020/12/27,EMCA,6.09,"74,695,780","454,842,320","1,432,707,989",3.97,3.29%
665,2020/12/27,IUAA,5.89,"374,691,917","2,207,208,605","3,617,882,979",2.05,1.06%
666,2020/12/28,EIMI,34.63,"493,786,366","17,099,816,144","17,558,184,283",1.76,-
667,2020/12/28,IWDA,72.39,"394,299,567","28,544,941,698","29,563,377,117",1.36,-
668,2020/12/28,DPYA,5.23,"23,895,845","125,090,371","2,354,651,657",2.94,-
669,2020/12/28,LQDA,6.52,"349,609,586","2,280,569,369","9,567,668,716",2.8,1.96%
670,2020/12/28,EMCA,6.09,"74,695,780","454,842,320","1,432,707,989",3.97,3.27%
671,2020/12/28,IUAA,5.89,"374,691,917","2,207,208,605","3,617,882,979",2.05,1.04%
672,2020/12/29,EIMI,34.63,"493,786,366","17,099,816,144","17,558,184,283",1.76,-
673,2020/12/29,IWDA,72.39,"394,299,567","28,544,941,698","29,563,377,117",1.36,-
674,2020/12/29,DPYA,5.23,"23,895,845","125,090,371","2,354,651,657",2.94,-
675,2020/12/29,LQDA,6.52,"349,609,586","2,280,569,369","9,567,668,716",2.8,1.96%
676,2020/12/29,EMCA,6.09,"74,695,780","454,842,320","1,432,707,989",3.97,3.27%
677,2020/12/29,IUAA,5.89,"374,691,917","2,207,208,605","3,617,882,979",2.05,1.04%
678,2020/12/30,EIMI,35.06,"493,732,925","17,312,284,778","17,778,272,334",1.76,-
679,2020/12/30,IWDA,73.03,"394,708,755","28,824,344,743","29,853,553,002",1.36,-
680,2020/12/30,DPYA,5.27,"23,895,845","125,852,118","2,373,907,796",2.94,-
681,2020/12/30,LQDA,6.53,"349,609,586","2,283,720,264","9,580,883,543",2.8,1.96%
682,2020/12/30,EMCA,6.09,"74,695,780","455,157,056","1,433,698,937",3.97,3.27%
683,2020/12/30,IUAA,5.89,"374,691,917","2,207,894,662","3,619,004,484",2.05,1.04%
684,2020/12/31,EIMI,35.65,"493,732,925","17,599,766,277","18,073,491,853",1.73,-
685,2020/12/31,IWDA,73.14,"394,708,755","28,869,223,874","29,900,032,397",1.35,-
686,2020/12/31,DPYA,5.3,"23,895,845","126,601,060","2,388,034,839",2.93,-
687,2020/12/31,LQDA,6.54,"347,109,586","2,269,476,266","9,589,695,823",2.79,1.94%
688,2020/12/31,EMCA,6.1,"74,945,780","456,893,525","1,434,361,744",3.97,3.26%
689,2020/12/31,IUAA,5.9,"374,669,126","2,209,527,563","3,621,899,288",2.05,1.04%
690,2021/1/2,EIMI,35.7,"493,671,892","17,625,699,726","18,102,361,052",1.7,-
691,2021/1/2,IWDA,73.25,"394,998,755","28,934,257,294","29,966,623,689",1.35,-
692,2021/1/2,DPYA,5.31,"23,895,845","126,933,059","2,389,338,118",2.9,-
